path,extension,is_folder,size,last_modified,created_time,is_container,contents,within_container,parent_object,Office_last_mod_time,Office_last_mod_by,XLS_num_sheets,PDF_num_pages,PDF_layout,MP3_track title,MP3_artist,MP3_duration,AUD_bitrate,IMG_size,IMG_dpi,IMG_device
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-24 269 The Amy Bradshaw Matter - Ep 4.afpk,.afpk,False,147,Mon Oct  7 20:06:51 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-24 269 The Amy Bradshaw Matter - Ep 4.mp3,.mp3,False,13678,Mon Oct  7 20:07:08 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-24 269 The Amy Bradshaw Matter - Ep 4.png,.png,False,33,Mon Oct  7 20:06:53 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-24 269 The Amy Bradshaw Matter - Ep 4_spectrogram.png,.png,False,181,Mon Oct  7 20:06:54 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-25 270 The Amy Bradshaw Matter - Ep 5.afpk,.afpk,False,152,Mon Oct  7 20:06:55 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-25 270 The Amy Bradshaw Matter - Ep 5.mp3,.mp3,False,13702,Mon Oct  7 20:07:09 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-25 270 The Amy Bradshaw Matter - Ep 5.png,.png,False,35,Mon Oct  7 20:07:03 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-25 270 The Amy Bradshaw Matter - Ep 5_spectrogram.png,.png,False,179,Mon Oct  7 20:07:04 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-28 271 The Henderson Matter - Ep 1.afpk,.afpk,False,161,Mon Oct  7 20:07:05 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-28 271 The Henderson Matter - Ep 1.mp3,.mp3,False,13679,Mon Oct  7 20:07:25 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-28 271 The Henderson Matter - Ep 1.png,.png,False,36,Mon Oct  7 20:07:06 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-28 271 The Henderson Matter - Ep 1_spectrogram.png,.png,False,197,Mon Oct  7 20:07:07 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-29 272 The Henderson Matter - Ep 2.afpk,.afpk,False,165,Mon Oct  7 20:07:08 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-29 272 The Henderson Matter - Ep 2.mp3,.mp3,False,13692,Mon Oct  7 20:07:28 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-29 272 The Henderson Matter - Ep 2.png,.png,False,32,Mon Oct  7 20:07:09 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-29 272 The Henderson Matter - Ep 2_spectrogram.png,.png,False,196,Mon Oct  7 20:07:10 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-30 273 The Henderson Matter - Ep 3.afpk,.afpk,False,155,Mon Oct  7 20:07:10 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-30 273 The Henderson Matter - Ep 3.mp3,.mp3,False,13626,Mon Oct  7 20:07:24 2024,,,,,,,,,,,,,,,,,
